barcode,vc1,s61_vc12,s40_vc16,s41_vc16,s58_vc09,s59_vc09,s60_vc09,s1_vc10,s10_vc10,s11_vc10,s12_vc10,s13_vc10,s14_vc10,s15_vc10,s16_vc10,s17_vc10,s18_vc10,s19_vc10,s2_vc10,s3_vc10,s4_vc10,s5_vc10,s6_vc10,s7_vc10,s8_vc10,s9_vc10,s63_vc11,s64_vc11,s46_vc16,s47_vc16,s48_vc16,s49_vc16,s50_vc16,s51_vc16,s52_vc16,s53_vc16,s54_vc16,s55_vc16,s56_vc16,s57_vc16,s58_vc16,s59_vc16,s60_vc16,s61_vc16,s62_vc16,s63_vc16,s64_vc16,s43_vc17,s44_vc17,s45_vc17,s46_vc17,s47_vc17,s48_vc17,s49_vc17,s50_vc17,s51_vc17,s52_vc17,s53_vc17,s54_vc17,s55_vc17,s56_vc17,s57_vc17,s58_vc17,s59_vc17,s60_vc17
lm1 mapping,659,4141,2558,3201,1050,1666,1364,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1908,1731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm2 mapping,373,2082,519,438,0,0,0,4,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,812,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm3 mapping,928,5573,1457,3810,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2452,2236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm4 mapping,956,7598,3760,1751,0,1170,2774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3140,3032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm5 mapping,1026,6223,1237,2168,2011,2761,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2680,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm6 mapping,728,4382,0,534,814,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2118,1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm7 mapping,771,6260,1150,2731,765,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,2780,2270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm8 mapping,95,527,0,0,0,0,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm9 mapping,663,3113,292,1250,0,0,2262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm10 mapping,695,4101,827,7808,671,5463,3616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1945,1768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
