,Nbarcodes,Nb,Ns,Nr,Nb_cal,Nr_cal,Nr_calibrated
X1E,7,5.074061204,7.666666667,7.666666667,NA,NA,7.096880538
X1F5,31,4.294978736,33.85714286,33.85714286,NA,NA,35.37408692
X1OD,16,3.975765749,17.66666667,17.66666667,NA,NA,18.1913922
X1OP,16,4.291305517,17.66666667,17.66666667,NA,NA,18.1913922
X1SD,2,1.757650801,2.111111111,2.111111111,NA,NA,2.111111111
X1SM,1,1.758027178,1,1.758027178,NA,NA,1.758027178
X1SP,2,1.757835764,2.111111111,2.111111111,NA,NA,2.111111111
X2E,41,21.19277373,48.14285714,48.14285714,NA,NA,50.04914936
X2F5,16,10.20249464,17.66666667,20.1291201,NA,NA,20.85742215
X2OD,18,10.66028845,19.88888889,20.51275296,NA,NA,21.27081096
X2OP,41,21.99612793,48.14285714,48.14285714,NA,NA,50.04914936
X2SD,18,8.338520145,19.88888889,19.88888889,NA,NA,20.59829694
X2SM,32,4.158474754,35.28571429,35.28571429,NA,NA,36.8579582
X2SP,19,12.10785646,21,21,NA,NA,21.79499851
X3E,1,1.758469661,1,1.758469661,NA,NA,1.758469661
X3F5,1,1.757635186,1,1.757635186,NA,NA,1.757635186
X3OD,1,1.757614555,1,1.757614555,NA,NA,1.757614555
X3OP,1,1.758784224,1,1.758784224,NA,NA,1.758784224
X3SD,1,1.759145541,1,1.759145541,NA,NA,1.759145541
X3SM,1,1.767782785,1,1.767782785,NA,NA,1.767782785
X3SP,1,1.757417405,1,1.757417405,NA,NA,1.757417405
X4E,9,8.08813902,9.888888889,9.888888889,NA,NA,9.600954684
X4F5,16,5.749040526,17.66666667,17.66666667,NA,NA,18.1913922
X4OD,11,5.684679938,12.11111111,12.11111111,NA,NA,12.0840653
X4OP,11,7.997882276,12.11111111,12.11111111,NA,NA,12.0840653
X4SD,3,1.222249726,3.222222222,3.222222222,NA,NA,3
X4SM,2,1.73506731,2.111111111,2.111111111,NA,NA,2.111111111
X4SP,2,1.775652558,2.111111111,2.111111111,NA,NA,2.111111111
X5E,5,4.696368329,5.444444444,5.444444444,NA,NA,4.615440636
X5F5,5,2.259667459,5.444444444,5.444444444,NA,NA,4.615440636
X5OD,7,2.117365516,7.666666667,7.666666667,NA,NA,7.096880538
X5OP,5,2.738923168,5.444444444,5.444444444,NA,NA,4.615440636
X5SD,4,2.279238985,4.333333333,4.333333333,NA,NA,3.429108041
X5SM,5,1.872954437,5.444444444,5.444444444,NA,NA,4.615440636
X5SP,5,2.114977035,5.444444444,5.444444444,NA,NA,4.615440636
C8,7,5.091871648,7.666666667,7.666666667,NA,NA,7.096880538
