"","s1_vc15","s10_vc15","s11_vc15","s12_vc15","s13_vc15","s14_vc15","s15_vc15","s16_vc15","s17_vc15","s18_vc15","s19_vc15","s2_vc15","s20_vc15","s21_vc15","s22_vc15","s23_vc15","s24_vc15","s25_vc15","s26_vc15","s27_vc15","s28_vc15","s29_vc15","s3_vc15","s30_vc15","s31_vc15","s32_vc15","s33_vc15","s34_vc15","s35_vc15","s36_vc15","s37_vc15","s38_vc15","s39_vc15","s4_vc15","s40_vc15","s41_vc15","s42_vc15","s43_vc15","s44_vc15","s45_vc15","s46_vc15","s47_vc15","s48_vc15","s49_vc15","s5_vc15","s50_vc15","s51_vc15","s52_vc15","s53_vc15","s54_vc15","s55_vc15","s56_vc15","s57_vc15","s58_vc15","s59_vc15","s6_vc15","s60_vc15","s61_vc15","s62_vc15","s63_vc15","s64_vc15","s7_vc15","s8_vc15","s9_vc15","s1_vc17","s10_vc17","s11_vc17","s12_vc17","s13_vc17","s14_vc17","s15_vc17","s16_vc17","s17_vc17","s18_vc17","s19_vc17","s2_vc17","s20_vc17","s21_vc17","s22_vc17","s23_vc17","s24_vc17","s25_vc17","s26_vc17","s27_vc17","s28_vc17","s29_vc17","s3_vc17","s30_vc17","s31_vc17","s32_vc17","s33_vc17","s34_vc17","s35_vc17","s36_vc17","s37_vc17","s38_vc17","s39_vc17","s4_vc17","s40_vc17","s41_vc17","s42_vc17","s43_vc17","s5_vc17","s6_vc17","s7_vc17","s8_vc17","s9_vc17","s1_vc18","s2_vc18","s3_vc18","s4_vc18","s5_vc18","s6_vc18","s7_vc18","s8_vc18","s9_vc18","s10_vc18","s11_vc18","s12_vc18","s13_vc18","s14_vc18","s15_vc18","s16_vc18","s17_vc18","s18_vc18","s19_vc18","s20_vc18","s21_vc18","s22_vc18","s23_vc18","s24_vc18","s25_vc18","s26_vc18","s27_vc18","s28_vc18","s29_vc18","s30_vc18","s31_vc18","s32_vc18","s33_vc18","s34_vc18","s35_vc18","s36_vc18","s37_vc18","s38_vc18","s39_vc18","s40_vc18","s41_vc18","s42_vc18","s43_vc18","s44_vc18","s45_vc18","s46_vc18"
"s1_vc15","0","0.690913202322392","0.7346696444552","0.900316316157106","0.866731193448043","0.708797091909937","0.81152235138862","0.85713747223079","0.900316316157106","0.846447474370096","0.820391859672697","0.57537802901752","0.900316316157106","0.85456863123896","0.827074659860269","0.717549713023107","0.848411747057771","0.842174301686942","0.69583096670442","0.801987797115","0.871541861279174","0.517411083037333","0.575927780934728","0.583070748773261","0.777505622424336","0.803185330481796","0.608497154039642","0.716089315757883","0.806275832298939","0.80800638134599","0.869115728815797","0.789440819053145","0.771890997821331","0.513924185053766","0.771286836511748","0.853696404724727","0.860779424289373","0.889209637066518","0.822468587495802","0.808424088914483","0.819316532601891","0.870452785318011","0.816447349295198","0.835353653213177","0.476760031488138","0.847699320768139","0.864793456155073","0.868021193417555","0.809193293094031","0.742195946750956","0.841376937812544","0.797083260318853","0.804757532926173","0.707115543520153","0.693854865543672","0.673902065213444","0.817766042316997","0.739068833520282","0.771409548595726","0.900316316157106","0.843291260549289","0.846008377620041","0.787379748412755","0.672216406074191","0.847419190167969","0.806878745750767","0.660610712398776","0.827223565630879","0.858003268814208","0.839542427662343","0.774569143696493","0.825459808373465","0.729537625543802","0.494660345039002","0.546291054939723","0.80608615950934","0.649794693909053","0.644337282978544","0.842777211623775","0.843711727729117","0.806000493810026","0.773221438684821","0.553090510419055","0.482529965648342","0.576259416898202","0.477668937265417","0.809982963977115","0.858226553285291","0.816232549766512","0.845518049819445","0.889755110312863","0.900024457579972","0.788674350828155","0.869933304688257","0.830170911909705","0.77558582256259","0.781846634063594","0.80214307801264","0.79245069838023","0.889755110312863","0.839542427662343","0.856610789710722","0.841141947160402","0.805701074323312","0.892920219480716","0.853993902121786","0.845060918038623","0.503226598562329","0.549453924851737","0.551899480915687","0.740881002566754","0.758835531698959","0.785102034868444","0.865959540060803","0.81295935177719","0.739912452617545","0.851444489785382","0.900316316157106","0.849494209663381","0.804591289126822","0.796214788169609","0.601989521263487","0.523882864110297","0.695955022434062","0.744967258704985","0.82221670002138","0.81525199716791","0.774942067541466","0.663495074479826","0.825605082736362","0.821968681425615","0.774435599214632","0.711516412578664","0.845882254999184","0.852078151142914","0.865278393759205","0.869900911652414","0.805308930579562","0.752223887564184","0.754200703513204","0.750868935700097","0.784338422079537","0.779710631420951","0.839501466579713","0.775079680563543","0.753736199282793","0.699750958880816","0.769293931335837","0.733366232578032","0.871541861279174","0.860444806258422","0.879435909377332","0.505327272298761"
"s10_vc15","0.690913202322392","0","0.768057374223621","0.834469126590715","0.894843962763413","0.753592108024236","0.703030525423572","0.896507206991459","0.817248169248301","0.900316316157106","0.7875288021179","0.442321746223637","0.86552330668104","0.86622971389876","0.847707661867947","0.810859458252558","0.768403660891632","0.803814497664303","0.76730611464978","0.786991481248189","0.900316316157106","0.666084843739152","0.648833050617318","0.683239320516983","0.822905820906657","0.807302107161563","0.645481525018144","0.829408869314175","0.86807519507956","0.829175877812402","0.862776866294877","0.838633533837726","0.880113881699537","0.619819789070941","0.834911472785619","0.8329547165721","0.871657383711799","0.867929575258223","0.864802365185662","0.839492410356989","0.843754629012214","0.798396086741972","0.873965668507131","0.865532660988168","0.597146035140448","0.857626254424586","0.900316316157106","0.870360763094351","0.835946930169572","0.782571219008744","0.778065259823839","0.812632761790321","0.786232624332205","0.790349679816062","0.75858435022107","0.767622665785874","0.832269402041638","0.803918081808447","0.794691501521376","0.835373520420431","0.900316316157106","0.827352845198509","0.736697077475425","0.385200494030373","0.822243148311336","0.879588249742008","0.755906875806472","0.82293474907776","0.74824144378063","0.87056334281356","0.874109551686569","0.879784017496231","0.732305585088268","0.593256526257793","0.620325991407953","0.87530540512582","0.726738643774913","0.747985780658852","0.900316316157106","0.888783552069364","0.812241460007471","0.81462831610286","0.610096003772198","0.629514512523866","0.633948369166785","0.621492407364976","0.89331528537336","0.802879207532462","0.858168729653051","0.809577814262527","0.842466575299926","0.833471394630232","0.844017568606855","0.900316316157106","0.770186152060363","0.693308013620585","0.833842685293729","0.831293216793178","0.784416076431507","0.842466575299926","0.87056334281356","0.882364323982137","0.872586702778458","0.816318141219356","0.841394561916161","0.885927880424614","0.847177853048186","0.645845047085197","0.593955810625704","0.592868386818137","0.751172731518071","0.795630907400534","0.764880467413633","0.871529385878016","0.833556172115663","0.788298575189397","0.819032560588515","0.881992306953336","0.806040270467544","0.777208910980827","0.832453564239929","0.714498042217457","0.630438350182889","0.720892193527783","0.787224217015598","0.880811340079578","0.808507096308629","0.798606476522007","0.748739104860922","0.884824214025492","0.796274244226153","0.789686888797024","0.823274797402609","0.900316316157106","0.892867909157078","0.843878164859476","0.877368927301853","0.886673072870178","0.760303689031323","0.725479478404813","0.730257253502413","0.817307696860562","0.70170975234665","0.836135932402098","0.794759795931223","0.802491256897188","0.658903462374588","0.820193506831869","0.749634436072643","0.900316316157106","0.900316316157106","0.845525971583729","0.61324749449411"
"s11_vc15","0.7346696444552","0.768057374223621","0","0.900316316157106","0.900316316157106","0.768227258315019","0.808308812854347","0.863593500448273","0.900316316157106","0.900316316157106","0.885082777590599","0.750554478249046","0.900316316157106","0.829905078790487","0.871020859093503","0.763191809589328","0.881707281100754","0.873485152176247","0.848168099918668","0.86027914029972","0.900316316157106","0.732083593189131","0.765388666914995","0.791276155849203","0.849009412836298","0.855114750967127","0.744154181557312","0.870032587801877","0.891969622474165","0.850418409442409","0.881606644103333","0.892841411005279","0.870087599499527","0.74795497666933","0.86555011592209","0.900316316157106","0.885996026235907","0.900316316157106","0.900316316157106","0.865322890758076","0.8464694058797","0.900316316157106","0.900316316157106","0.891545679373801","0.766307952775708","0.900316316157106","0.900316316157106","0.900316316157106","0.877190915499054","0.870308595065261","0.872910315433371","0.807837601508341","0.874529287231288","0.814762497047801","0.887268099179737","0.626927980030472","0.879373375576954","0.823595708509685","0.869625925963439","0.900316316157106","0.900316316157106","0.882810644699725","0.791811028109836","0.794654965064684","0.900316316157106","0.834434002372254","0.850482542434079","0.831578794792259","0.865258824676959","0.649688633653808","0.883596661408845","0.879937667202546","0.852805752700426","0.75071707371848","0.770263206961226","0.886862393509791","0.782879022196045","0.834860430622277","0.900316316157106","0.879914752443056","0.900316316157106","0.74427218871232","0.768133542291735","0.746430931133033","0.796799907493459","0.752441616401233","0.86769907326442","0.8794338294418","0.900316316157106","0.849950442506906","0.778840920139529","0.900316316157106","0.900316316157106","0.900316316157106","0.810010929123918","0.851149053542571","0.887926118103763","0.843908991935986","0.81993106370518","0.778840920139529","0.649688633653808","0.900316316157106","0.843270988495173","0.866108711850068","0.900316316157106","0.900316316157106","0.87006389974323","0.678975841356632","0.742324340914663","0.747685325680737","0.746156486445638","0.757670987961035","0.854143053440929","0.876166176670475","0.834068625170308","0.816792221407604","0.852522544864702","0.900316316157106","0.794436709963891","0.873885681502727","0.87068844550463","0.677099980797491","0.761310135359348","0.824602559812446","0.784764601840741","0.744597924525836","0.898048484611045","0.828757542978006","0.740604627733526","0.778887412899807","0.892775697557819","0.871073283699487","0.817502145510148","0.800170120417273","0.890775133032556","0.900316316157106","0.900316316157106","0.794237951357321","0.855402663163825","0.836710633669319","0.825168749397678","0.747094618441439","0.866267420585708","0.898498569756848","0.879749089571551","0.803013806575064","0.796748584759777","0.822033318617121","0.727819377271241","0.900316316157106","0.900316316157106","0.789689461603716","0.780023332959597"
"s12_vc15","0.900316316157106","0.834469126590715","0.900316316157106","0","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.847768371162633","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.699561040093612","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.898581971972276","0.894748038477401","0.887537113110121","0.899693415232232","0.900316316157106","0.885603333486357","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.89556927666585","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.860199719766622","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.639255470192259","0.900316316157106","0.810954670334065","0.900316316157106","0.89738511984195","0.900316316157106","0.900316316157106","0.900316316157106","0.760721377476261","0.900316316157106","0.900316316157106","0.405282825022891","0.888146926471014","0.868481305833634","0.718072362074938","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.892668884278107","0.836927396445555","0.849606740694455","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.835867861103339","0.851299218185223","0.850891092799367","0.874767042715747","0.900316316157106","0.705313284916844","0.900316316157106","0.900316316157106","0.900316316157106","0.666592641626784","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.862666543564476","0.900316316157106","0.896962591257772","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.897418690816238","0.861587750294333","0.869345233435984","0.891335037589171","0.899485295235684","0.846616809212428","0.900316316157106","0.900316316157106","0.895993753333767","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.871640920913197","0.85088172691879","0.871501323753822","0.885641533067688","0.900316316157106","0.872513055799815","0.889886814381282","0.895959807984989","0.900316316157106","0.896311224397182","0.872133931580937","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.85111750045988","0.893165665458259","0.893806191741633","0.900316316157106","0.750163838286889","0.900316316157106","0.898134797687957","0.900316316157106","0.824902827070128","0.882265376001871","0.894813685273223","0.900316316157106","0.900316316157106","0.900316316157106","0.866597178993157"
"s13_vc15","0.866731193448043","0.894843962763413","0.900316316157106","0.900316316157106","0","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.859333596647577","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.822461019439334","0.900316316157106","0.900316316157106","0.869031643964965","0.798889882298399","0.854801386074169","0.829877884259839","0.867828563097303","0.846795434100458","0.892386168990514","0.900316316157106","0.858456071706316","0.900316316157106","0.884472550014837","0.858438644257841","0.858035420784399","0.900316316157106","0.883520606066973","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.888606051394513","0.900316316157106","0.876552652648251","0.900316316157106","0.900316316157106","0.900316316157106","0.893702202875459","0.900316316157106","0.900316316157106","0.900316316157106","0.866784957014996","0.896678851779616","0.900316316157106","0.900316316157106","0.899509243799348","0.900316316157106","0.753628837725663","0.860190224279943","0.900316316157106","0.900316316157106","0.886828443823911","0.897438805539722","0.900316316157106","0.900316316157106","0.851220715692643","0.883685397860423","0.900316316157106","0.900316316157106","0.900316316157106","0.517580872165448","0.896576928267358","0.855104706020433","0.833358287733077","0.900316316157106","0.900316316157106","0.827560846056614","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.851840788365029","0.829830230748513","0.865436461872084","0.831855456370892","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.830688881160625","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.567683536270939","0.893576394468824","0.900316316157106","0.203653597611798","0.900316316157106","0.846298471700221","0.857898398908858","0.836546960889016","0.801014155997921","0.900118806411485","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.868078022340232","0.832238725246076","0.878716594587401","0.826274798723003","0.900316316157106","0.852884753357398","0.900316316157106","0.808095263991913","0.900316316157106","0.896036934061337","0.900316316157106","0.881709550538263","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.893093875103776","0.877283877342885","0.890201100719709","0.900316316157106","0.844806722809544","0.897200442803447","0.900316316157106","0.899794203465153","0.84723691987897","0.896299573850181","0.892862058436337","0.900316316157106","0.900316316157106","0.900316316157106","0.838190906596047"
"s14_vc15","0.708797091909937","0.753592108024236","0.768227258315019","0.900316316157106","0.900316316157106","0","0.833388767744166","0.88882357008123","0.858435927453942","0.900316316157106","0.799656511059011","0.752783741606745","0.861072646353502","0.900316316157106","0.881539985433758","0.783574281226951","0.820504161425061","0.886728213356331","0.83715729963835","0.866476220098374","0.780592196425698","0.680122694583254","0.74852487643015","0.762143605648418","0.786916693839798","0.851436639476705","0.753171922129445","0.763178414246393","0.837575081730724","0.798368068725579","0.87287991307333","0.883347691608909","0.841273035514952","0.683929978567829","0.876246516260011","0.82511392598846","0.872704209518446","0.900316316157106","0.849561448116432","0.852220760463784","0.851284490264472","0.874797372902798","0.862123921525108","0.880014739580939","0.730864651502511","0.837662613649981","0.900316316157106","0.825200867666714","0.814682700332756","0.829294992831967","0.866061900345037","0.826197930959035","0.832398799470702","0.809902157139616","0.852575124910578","0.766131753055898","0.848297519740814","0.856317338523797","0.861062433283405","0.900316316157106","0.900316316157106","0.889192952268262","0.836995204428542","0.722972264034376","0.851286969764836","0.888805339826519","0.827114519971515","0.833613002408346","0.874951557559744","0.774528859016204","0.874671039986222","0.886035476238169","0.828083383017361","0.689282112212395","0.685754972230732","0.852403313259004","0.77385139865767","0.815863106783591","0.900316316157106","0.900316316157106","0.863740450948434","0.807594913799021","0.693155179647727","0.707110445485034","0.71628199200735","0.711394514523297","0.856956013355178","0.865355232000654","0.900316316157106","0.900316316157106","0.900316316157106","0.882117004012464","0.878054422792619","0.900316316157106","0.848677897695037","0.767228887669742","0.878304984047752","0.885184891210719","0.884453854536589","0.900316316157106","0.774528859016204","0.900316316157106","0.900316316157106","0.786863058373431","0.900316316157106","0.900316316157106","0.870278471169527","0.700818346929033","0.733596566690342","0.7089063054669","0.809170614914063","0.845251649769436","0.858679012402112","0.825474961381107","0.846371986155197","0.837372870471866","0.900316316157106","0.900316316157106","0.878012696432473","0.861263802228717","0.864317511731804","0.688552513967691","0.750993283801725","0.804422968218448","0.84369934131921","0.797869226900095","0.840659740147025","0.852573257871799","0.791536208743543","0.812583686559517","0.842016506188423","0.862564178735426","0.771339796540873","0.882454734728214","0.878587332521897","0.900316316157106","0.850600390534131","0.82798310745407","0.825886103498494","0.789175584868137","0.753763083886338","0.787433898117802","0.784473568038268","0.893644472009376","0.844522102392051","0.797115564642628","0.80037436344131","0.822422849856729","0.839720597678141","0.780592196425698","0.900316316157106","0.900168744156804","0.739088400160513"
"s15_vc15","0.81152235138862","0.703030525423572","0.808308812854347","0.900316316157106","0.900316316157106","0.833388767744166","0","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.691991298997382","0.900316316157106","0.877815171815826","0.887740396918059","0.873492958946021","0.890850629709164","0.882225596061675","0.859937617873828","0.860844398725274","0.900316316157106","0.806939618879075","0.795728151037984","0.814982575024108","0.888567124333004","0.866142147641835","0.825074675778171","0.887327844443005","0.895072998198624","0.890808870350321","0.885817838477309","0.898686123457032","0.894923338215117","0.792687937725438","0.878599166681869","0.898709897611726","0.885333486435344","0.898837409556823","0.887475173195596","0.878458309589315","0.893469259720567","0.900316316157106","0.892326447604695","0.88130322163237","0.789938344407753","0.900316316157106","0.89063570037994","0.900316316157106","0.893010748360127","0.853622752352581","0.870146297592436","0.861610576558273","0.896944705505472","0.84769770476398","0.828070624942088","0.784275191820716","0.892962200277452","0.868219719285003","0.882328209479947","0.900316316157106","0.900316316157106","0.891645499892709","0.840476783292031","0.772545499158454","0.890756252761782","0.900316316157106","0.859429516154684","0.8723507218355","0.855696666777397","0.865124055186454","0.900316316157106","0.893908049479644","0.861854819365896","0.787753956244575","0.792415712764752","0.893269531684814","0.786100158457348","0.877074118883593","0.900316316157106","0.889030359986724","0.847804060892992","0.8649096881192","0.809137449981757","0.798520311509302","0.819124928820239","0.79843204430986","0.900316316157106","0.864117147135603","0.877762702956679","0.890744992244272","0.862311029790096","0.900316316157106","0.875261523601795","0.900316316157106","0.873998624336598","0.881018546064442","0.867700841154818","0.871745864268227","0.88640508341403","0.862311029790096","0.865124055186454","0.900316316157106","0.881988674796838","0.89493044204","0.792300121312598","0.900316316157106","0.887613540379777","0.781772600943751","0.808619862748937","0.78925261693999","0.838044136429435","0.871068482403236","0.763804998344268","0.89579009498503","0.888313539977564","0.869133220495223","0.874104949207456","0.900316316157106","0.859169541298981","0.853528478515702","0.703628898683656","0.810999957879758","0.798996568280238","0.862153326825019","0.865957666975443","0.877270588384807","0.879392407238049","0.893970948827075","0.858723882120919","0.882019563698736","0.872422666069163","0.894722484450682","0.883730866097685","0.900316316157106","0.900316316157106","0.835421023288828","0.900316316157106","0.884206211455665","0.870130827026159","0.869681901560735","0.884037174526837","0.738078357541761","0.861533885929842","0.886214432086164","0.868813217686572","0.829831102506731","0.831920060010665","0.892271311980672","0.829849519795059","0.900316316157106","0.900316316157106","0.864897651062815","0.795280203454139"
"s16_vc15","0.85713747223079","0.896507206991459","0.863593500448273","0.900316316157106","0.900316316157106","0.88882357008123","0.900316316157106","0","0.900316316157106","0.900316316157106","0.900316316157106","0.872053970934227","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.844028039326995","0.900316316157106","0.900316316157106","0.89373857512414","0.867274646074357","0.858305804270005","0.893403435401485","0.900316316157106","0.88548981014114","0.898400478785608","0.900316316157106","0.900316316157106","0.900316316157106","0.866829079284223","0.900316316157106","0.834573044251476","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.86609835526261","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.792257937891411","0.729986095290785","0.900316316157106","0.879164212340956","0.900316316157106","0.900316316157106","0.898297110624714","0.847208559213535","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.878907419949731","0.900316316157106","0.900316316157106","0.861999204256165","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.872415078387941","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.855869839543171","0.860400779103067","0.878379774954512","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.85796999060347","0.871535276323815","0.879581706148545","0.890221140314599","0.899351137705271","0.900316316157106","0.754557234483583","0.900316316157106","0.883429454020991","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.883916596046565","0.895032446457016","0.896436348881358","0.893444550904381","0.900316316157106","0.900316316157106","0.900316316157106","0.894767269553948","0.900316316157106","0.899467626928866","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.890247173472368","0.895432555657294","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.880347662746634"
"s17_vc15","0.900316316157106","0.817248169248301","0.900316316157106","0.900316316157106","0.900316316157106","0.858435927453942","0.900316316157106","0.900316316157106","0","0.900316316157106","0.900316316157106","0.842253113999574","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.848396947442091","0.855824797863919","0.859137365680907","0.900316316157106","0.900316316157106","0.854069347813145","0.85755998973822","0.900316316157106","0.900316316157106","0.900316316157106","0.834451554893857","0.900316316157106","0.856762302967865","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.558633252294383","0.900316316157106","0.900316316157106","0.846440171754765","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.848950680601863","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.561284227986065","0.900316316157106","0.900316316157106","0.900316316157106","0.853420364995102","0.863182388973521","0.900316316157106","0.900316316157106","0.900316316157106","0.822569710611608","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.867085826088327","0.900316316157106","0.854473887186814","0.811094778060812","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.794474872957353","0.900316316157106","0.872520416695082","0.871338799611175","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.867199713527926","0.851383611589371","0.864432477096109","0.892583438382153","0.890502845536026","0.900316316157106","0.900316316157106","0.900316316157106","0.859885173283939","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.88300948588708","0.816778123377487","0.813100485886538","0.900316316157106","0.900316316157106","0.900316316157106","0.809881908257432","0.900316316157106","0.900316316157106","0.895742366240906","0.786201276707468","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.894762615109431","0.787366344552989","0.892918894643692","0.900316316157106","0.754373893799057","0.8773177862396","0.900316316157106","0.900316316157106","0.883241936446874","0.865942142862229","0.883388256596285","0.900316316157106","0.900316316157106","0.900316316157106","0.857297148647434"
"s18_vc15","0.846447474370096","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.827463701929839","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.872047842780296","0.859668966326804","0.900316316157106","0.885926700296744","0.84799105096899","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.88331954849935","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.855249510881828","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.872937364163728","0.875440975418417","0.886136993059746","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.871800129464953","0.847077411916191","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.858550579844007","0.868325758296258","0.847942576079349","0.864850889577625","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.849594136793637","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.872706728149534","0.868638256195423","0.879643655381641","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.860974850205441","0.89320841608542","0.896024517214807","0.891065978258051","0.900316316157106","0.900316316157106","0.900316316157106","0.889271440511259","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.523881177483166","0.900316316157106","0.900316316157106","0.896625234295359","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.89737253660326","0.900316316157106","0.900316316157106","0.897170863178666","0.900316316157106","0.900316316157106","0.900316316157106","0.85965560106322"
