"","s34_vc5","s1_vc08","s10_vc08","s11_vc08","s12_vc08","s13_vc08","s14_vc08","s15_vc08","s16_vc08","s17_vc08","s18_vc08","s19_vc08","s2_vc08","s20_vc08","s21_vc08","s22_vc08","s23_vc08","s24_vc08","s25_vc08","s26_vc08","s27_vc08","s28_vc08","s29_vc08","s3_vc08","s30_vc08","s31_vc08","s32_vc08","s33_vc08","s34_vc08","s35_vc08","s36_vc08","s37_vc08","s38_vc08","s39_vc08","s4_vc08","s40_vc08","s41_vc08","s42_vc08","s43_vc08","s44_vc08","s45_vc08","s46_vc08","s47_vc08","s48_vc08","s49_vc08","s5_vc08","s50_vc08","s51_vc08","s52_vc08","s53_vc08","s54_vc08","s55_vc08","s56_vc08","s57_vc08","s58_vc08","s59_vc08","s6_vc08","s60_vc08","s61_vc08","s62_vc08","s63_vc08","s64_vc08","s7_vc08","s8_vc08","s9_vc08","s1_vc12","s10_vc12","s11_vc12","s12_vc12","s13_vc12","s14_vc12","s15_vc12","s16_vc12","s17_vc12","s18_vc12","s19_vc12","s2_vc12","s20_vc12","s21_vc12","s22_vc12","s23_vc12","s24_vc12","s25_vc12","s26_vc12","s27_vc12","s28_vc12","s29_vc12","s3_vc12","s30_vc12","s31_vc12","s32_vc12","s33_vc12","s34_vc12","s35_vc12","s36_vc12","s37_vc12","s38_vc12","s39_vc12","s4_vc12","s40_vc12","s41_vc12","s42_vc12","s43_vc12","s44_vc12","s45_vc12","s46_vc12","s47_vc12","s48_vc12","s49_vc12","s5_vc12","s50_vc12","s51_vc12","s52_vc12","s53_vc12","s54_vc12","s55_vc12","s56_vc12","s57_vc12","s58_vc12","s59_vc12","s6_vc12","s60_vc12","s61_vc12","s62_vc12","s63_vc12","s64_vc12","s7_vc12","s8_vc12","s9_vc12"
"s34_vc5","0","0.249818218665707","0.796555585010942","0.788366421647008","0.815722151566606","0.73872022475992","0.777744534019438","0.7475735664987","0.239619199861666","0.657444854734498","0.677842231427712","0.736427002144805","0.750993237978477","0.515890769365224","0.653352856259732","0.563814724093142","0.822312272779734","0.644136697418321","0.691454102356392","0.708021772665158","0.698452931509251","0.709757352763545","0.626864131240602","0.747207848997787","0.693536341182808","0.275197970891975","0.823081109980385","0.80105774479764","0.718325980796073","0.740682510660334","0.720239027525894","0.699884516753615","0.857867073455014","0.771014960416403","0.721762255633551","0.763324772369139","0.799138380981031","0.872489690244776","0.82418737209101","0.789233568246483","0.78707887428504","0.25096933912566","0.850301960963054","0.724085692440972","0.748796826279347","0.654411303596876","0.682884514258659","0.860926959913504","0.763802055404139","0.774860278847722","0.733611605972914","0.8549416269128","0.44382338583542","0.749934574322786","0.732326143252382","0.755561434554248","0.676939869805169","0.667701385880328","0.542486485032314","0.56832592083508","0.592623195998995","0.249575191403903","0.612281506785882","0.810580180153216","0.766449953910672","0.806514426206684","0.753806239221439","0.830146519936625","0.82286312213177","0.835792727978099","0.816348054305573","0.772094011241601","0.868679669863338","0.847123214103579","0.822448731769579","0.709117878155712","0.80363147771523","0.680265154549881","0.833861234251147","0.803057979060865","0.715036304254239","0.698221662618416","0.813804247602604","0.84058355550182","0.810779586685229","0.705861464247483","0.846732934936252","0.776087123543872","0.793215793781973","0.843004762316021","0.793041024796387","0.859879336606521","0.824938404190566","0.860438744702787","0.725065498645859","0.850902923795244","0.872989394811585","0.776804149658686","0.787962421189898","0.762867753317381","0.822553400849759","0.777667224739888","0.869453388386343","0.756412866485565","0.856250570802704","0.843984087137556","0.844072223016852","0.810964782344931","0.828240313116484","0.829305127043019","0.693017023569489","0.839428886901231","0.721593455524893","0.850282690793694","0.809530503417308","0.758513079559711","0.761272473464678","0.239592143879861","0.260475350769188","0.242991296099231","0.831394216825952","0.22617899558531","0.0834341577578051","0.850471203509497","0.861176167209038","0.831024438462467","0.755384086670954","0.801769693217495","0.828519558561805"
"s1_vc08","0.249818218665707","0","0.777681360818676","0.779345598810349","0.808149542989148","0.719814627005066","0.761618847735583","0.727849032379533","0.34314611716038","0.673637681051048","0.674371318665571","0.733182752493429","0.727187076656288","0.531792282576076","0.661492106714197","0.605395282978027","0.822238051634893","0.658604423120664","0.680689975080472","0.724356107708477","0.713769985634421","0.710381182108555","0.626992305803688","0.726588982945379","0.709205014425912","0.34887761082219","0.824003834207683","0.803516887035727","0.731801072046042","0.737010703974409","0.731847848299412","0.703356890337463","0.853377376307326","0.774127146022359","0.706323058982017","0.772719498165346","0.778073563140549","0.867568409726522","0.816671400589","0.791194668077135","0.791392229996965","0.331714205410078","0.858252957346872","0.735605806480504","0.759881043832078","0.630908673511953","0.693160247170073","0.868329174250631","0.774505498751147","0.7798992667755","0.749802719104506","0.862247248228619","0.41637923520338","0.761166427567986","0.744109801566024","0.770226734040757","0.660588537496724","0.682715904491007","0.548131662500294","0.589307614126184","0.611118206383282","0.03325463851077","0.587601413219586","0.790852757813856","0.747422634348771","0.814766344971839","0.786902793407838","0.851944101407085","0.833260860121532","0.829941174379232","0.820673887452917","0.758110394890928","0.87571126736853","0.855170128727403","0.820558508934997","0.738129578537886","0.821210274878374","0.710995557718558","0.838239874188047","0.78913043733464","0.750184861210315","0.72823639065675","0.798981398876181","0.856334729349922","0.826779859374399","0.717426695716953","0.845893826496474","0.815086685601905","0.791939325539956","0.862884264633298","0.807480894573908","0.852755760854955","0.837860056080453","0.849265058909175","0.74010295527322","0.8405490071534","0.876057791325332","0.790186123110967","0.802153898791869","0.791730726786385","0.812530998811019","0.765118298196426","0.900316316157106","0.77540605132278","0.851441479852185","0.819858241010542","0.855398351379239","0.802369542140616","0.810736138937754","0.837447451194626","0.694207277548264","0.850763110145724","0.744547474767788","0.850165237310902","0.796650141891357","0.78600035168801","0.778131967608034","0.332533555161254","0.359840216077787","0.328945805981126","0.840240181289507","0.334370503997145","0.260027740027974","0.858386887568002","0.868543637518479","0.832025844449293","0.781241638964661","0.813053137649335","0.81212409647948"
"s10_vc08","0.796555585010942","0.777681360818676","0","0.657931231885285","0.777665225143572","0.45975743857323","0.617501450095879","0.568847356060119","0.797347478445833","0.87596993083498","0.873615119962608","0.886218471005763","0.62415886664574","0.82127031000845","0.872713216382514","0.863394906950353","0.894667577239499","0.851230370523811","0.884823552141504","0.895067006568035","0.885628265259797","0.887528287435193","0.87090194556479","0.593258773538137","0.892384548123744","0.800000905702739","0.895665401469754","0.891566850604323","0.882651355496734","0.871617996569552","0.848604975536601","0.885397761954368","0.900316316157106","0.897826007745295","0.358542012807349","0.860733583920188","0.864975381000785","0.900316316157106","0.900316316157106","0.781529682110939","0.896965994305188","0.80953634591254","0.900316316157106","0.882966576229516","0.873416900582411","0.415587042551129","0.880119348169571","0.900316316157106","0.875000457870284","0.888366829502176","0.878334718512756","0.900316316157106","0.777643449279423","0.875484899975318","0.881993058970131","0.881512804740822","0.423113607027132","0.865000155785441","0.802822688397149","0.796966705936328","0.845251456115047","0.776586607891884","0.454044842753055","0.479610325345781","0.521581602841976","0.838196527338469","0.899108571863168","0.876825263721717","0.894929835215805","0.872715308265138","0.850381703883603","0.849150233535932","0.900316316157106","0.900316316157106","0.884038178147812","0.855407825241565","0.900316316157106","0.869451021440279","0.8643532319272","0.891678935568237","0.873385820409889","0.83043482610666","0.900316316157106","0.882943753061747","0.828164683777942","0.877219278914599","0.900316316157106","0.856801085429375","0.870337124568025","0.900316316157106","0.900316316157106","0.900316316157106","0.896715736893373","0.759478957336217","0.884514917248101","0.837182531335345","0.900316316157106","0.830507100012846","0.885949970932089","0.886140918785289","0.876313460161271","0.900316316157106","0.900316316157106","0.874806925531769","0.776069650312522","0.886321153580859","0.891700298199233","0.900316316157106","0.699693521002273","0.817785323637265","0.85394943067435","0.900316316157106","0.887286957143498","0.837492392169661","0.820173007622227","0.851292234220441","0.870638976113263","0.79223228176885","0.800815254017743","0.776780929729575","0.900316316157106","0.797952202696763","0.796650536838505","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.884214771312437","0.699769715246145"
"s11_vc08","0.788366421647008","0.779345598810349","0.657931231885285","0","0.358076502901766","0.684930006688898","0.502480758920502","0.687150359323635","0.780495937157782","0.834608663565667","0.842875387587102","0.863554590950933","0.740019632673526","0.804219631976875","0.853076891469673","0.803546377682007","0.467338971327032","0.749703307927898","0.839467284899519","0.860846635895959","0.815049640155296","0.844467879705639","0.833776750266957","0.718649262461054","0.838805334281186","0.790663508466216","0.885237987765067","0.891549585930913","0.878857759208094","0.875353933472044","0.856353877332723","0.881955120774365","0.900316316157106","0.883911372149206","0.622913657407804","0.873050155746768","0.881208160765502","0.900316316157106","0.899976915657433","0.827890325168079","0.897713999414735","0.801863562628134","0.845530961870053","0.825797500833635","0.821584677689738","0.604926303806841","0.846734486750449","0.866724367673802","0.866285370783083","0.849079807040945","0.824682026610961","0.844723178791526","0.775303971728634","0.831191346507313","0.836960517858507","0.827914722084022","0.644111634822426","0.826305053416033","0.771430019489786","0.803389147836865","0.8717739345147","0.779920637842292","0.652120203055572","0.686110283793203","0.681178544905928","0.86699492202248","0.888235231123014","0.891281539883697","0.898824291749728","0.88642640709744","0.847691909333893","0.87301900832389","0.900316316157106","0.900316316157106","0.889451394441658","0.873172849377842","0.900316316157106","0.874549809476853","0.882261552301029","0.893376701744533","0.866647830741154","0.860477869095705","0.895739653782757","0.89206156055066","0.878778974831417","0.882187815565963","0.900316316157106","0.881139158547004","0.886125090004027","0.900136874072982","0.894437186999057","0.900316316157106","0.896947674081529","0.900316316157106","0.875318439846044","0.868872727152166","0.900316316157106","0.89340101643789","0.89146168527355","0.887135770080529","0.888224795278039","0.900316316157106","0.900316316157106","0.882066886579083","0.839607968673844","0.89365970845582","0.894524385469248","0.898613931426636","0.785626024256526","0.85945333013414","0.86136612911311","0.900316316157106","0.886155059454089","0.869024150624676","0.862969661342922","0.87483726716915","0.885150995245598","0.8125126072395","0.817724003132232","0.778022067061404","0.885777154609074","0.786909876512703","0.788062253135013","0.845552973983834","0.867110528328056","0.85855634114554","0.865461633734154","0.882524335451996","0.843498372189954"
"s12_vc08","0.815722151566606","0.808149542989148","0.777665225143572","0.358076502901766","0","0.784008271273764","0.514173003622013","0.758642480136927","0.803324078701737","0.824205016030162","0.832020552668994","0.861241840501566","0.732521770512102","0.825157006824185","0.850101266598139","0.82479166000101","0.299772781016974","0.735074821173732","0.829559462400405","0.845040268496059","0.806866293665518","0.853838906998808","0.81541656687576","0.782846692849842","0.829251371736168","0.811790081703574","0.893188263325371","0.893429298987938","0.880016935383651","0.838711682590689","0.865824257392741","0.859172821944234","0.900316316157106","0.883111846236485","0.743394484847098","0.888466315563181","0.887160236068375","0.900316316157106","0.887869870456549","0.869170928795576","0.880001695246122","0.831670128616502","0.900316316157106","0.880361444274921","0.885100002984197","0.720410555375098","0.88294564557494","0.900316316157106","0.879053853583779","0.893801373741911","0.876105362022687","0.900316316157106","0.812039630433012","0.885590945649932","0.885085831719311","0.886749004499034","0.763791842080452","0.86680858902556","0.810506698122802","0.821256091745637","0.885205137516202","0.809213447798812","0.761137508150244","0.750874054202929","0.77445747569384","0.885953673637808","0.896261676196746","0.889979877774342","0.898455426190166","0.894649644038525","0.891373602250016","0.888617221802214","0.900316316157106","0.900316316157106","0.888276600762136","0.875634889920683","0.900292468776799","0.882954044739404","0.892960755109783","0.898202611927554","0.885197333254602","0.869155376590971","0.900316316157106","0.900316316157106","0.883715132999647","0.889600606608657","0.900316316157106","0.884513819251252","0.889385557048905","0.900316316157106","0.89867769102901","0.900316316157106","0.897540036551255","0.900316316157106","0.876801541359435","0.887563949280427","0.900316316157106","0.900316316157106","0.897622751484754","0.894869738557364","0.895380377524785","0.896143195759785","0.900316316157106","0.884376515211832","0.875944101178908","0.900316316157106","0.897324236625457","0.897067149659492","0.815285824656339","0.883797218878514","0.886872685533684","0.900316316157106","0.888827291584253","0.887624706174963","0.898814454466505","0.874350548950383","0.888989035786223","0.837335113847626","0.837033493618207","0.808244890336197","0.900316316157106","0.811506596204442","0.816501861981507","0.900316316157106","0.900316316157106","0.89826846092445","0.847793175424336","0.889201634121454","0.877474636790626"
"s13_vc08","0.73872022475992","0.719814627005066","0.45975743857323","0.684930006688898","0.784008271273764","0","0.634414871156738","0.548943828971305","0.747176550450183","0.865005488511082","0.864006974460012","0.877212556055442","0.635376700780581","0.811865612005802","0.851757913812631","0.835774775675351","0.893918226258435","0.839061278119569","0.857214893513015","0.885153422112611","0.8681005179732","0.840532420229803","0.855177058284547","0.592584326423427","0.826031138432037","0.731656779935724","0.892728536562218","0.882722105456299","0.856603291330772","0.865010328317024","0.832569515598801","0.863393682549257","0.900316316157106","0.88240597407892","0.383452501057314","0.864639850778375","0.871746870341393","0.900316316157106","0.900316316157106","0.777178269562993","0.888759464764467","0.755847360229596","0.900316316157106","0.853560502903707","0.859538704594289","0.418483903674103","0.814601698097618","0.900316316157106","0.80092496618191","0.870617257842114","0.839057479823219","0.900316316157106","0.719571525119093","0.856184050660935","0.837319198310563","0.862618232249457","0.431116063763193","0.815613866626764","0.768635625964591","0.748353429357237","0.836069605065204","0.718591557427906","0.43522372828153","0.508984212184564","0.528234207454321","0.837510258983579","0.868702012292","0.886144688831892","0.894158275999226","0.875626460424171","0.845056671782415","0.796146061710951","0.900316316157106","0.900316316157106","0.885139611491252","0.865422186291752","0.900316316157106","0.849494207994071","0.861055006267881","0.889644411535377","0.870056017511372","0.832350161633001","0.849230648901533","0.889428625866534","0.849614534479529","0.85162757527485","0.900316316157106","0.867602496671629","0.881578466561312","0.896535455694449","0.881031500139347","0.900316316157106","0.89258613077558","0.831296932746257","0.862678373111927","0.843968773675354","0.900316316157106","0.833508532146007","0.883715997398604","0.875610310884332","0.824274036698463","0.886632736277744","0.900316316157106","0.871609274099053","0.789902906769296","0.891539040132695","0.894772190521742","0.89469851072138","0.718334328210629","0.826752831822713","0.847105310474347","0.900316316157106","0.870677563591896","0.844244181371158","0.839871044908813","0.864529235278884","0.869615055069696","0.759854052463491","0.739013970272959","0.742931660902075","0.885154421606208","0.759087488289314","0.742572620392259","0.900316316157106","0.900316316157106","0.886829371487457","0.856075514263433","0.883109107165391","0.770188185723832"
"s14_vc08","0.777744534019438","0.761618847735583","0.617501450095879","0.502480758920502","0.514173003622013","0.634414871156738","0","0.634755407621273","0.776021203801159","0.825896860908873","0.843694284323276","0.820430375375736","0.630065305741913","0.820589517997992","0.848694807559573","0.827784128600566","0.66195020616413","0.787367740067631","0.841347317795432","0.863943605062448","0.835333792808889","0.858529229633248","0.831358180363479","0.644692664989812","0.857749077511927","0.76911843667842","0.889297576166771","0.889064401541101","0.867315277506052","0.851893912522143","0.814692722419672","0.86135427996268","0.900316316157106","0.878608862218155","0.548840644295531","0.875700449922694","0.878910110263241","0.900316316157106","0.892507420055983","0.840848871633134","0.872423711821186","0.771823809108966","0.887931149017067","0.860740651066335","0.863518295850005","0.564579999912835","0.863080045266539","0.894806677101594","0.878507524212031","0.881554883409516","0.858935844194471","0.887845607971903","0.765762773741676","0.863731384753993","0.85892744683796","0.867425279889386","0.601832915806784","0.858550336436785","0.801816682703611","0.825549687462037","0.859940779344217","0.762700852025731","0.603461094337653","0.577748244864835","0.62605144706867","0.863885549396272","0.884842355400085","0.889050676189234","0.89673881624948","0.888173979706254","0.867659523011773","0.875684183150241","0.900316316157106","0.88897399222276","0.879231419696354","0.885215969377738","0.900303758029292","0.870019739712171","0.884537841604846","0.878613893716954","0.878292341885261","0.858355853386746","0.894793242530381","0.894085133926173","0.877726044395828","0.870128532002585","0.900316316157106","0.883370938327493","0.88432243026614","0.900316316157106","0.895044736888105","0.880192599983197","0.891746385805658","0.900316316157106","0.86840048021976","0.862052972275755","0.900316316157106","0.852040383620668","0.894038442435546","0.886371269393058","0.884749096116557","0.886953393129451","0.900316316157106","0.885407614016293","0.847431949522166","0.895290406887434","0.897999560021214","0.898363287251695","0.707883477951624","0.864665195395423","0.842193067833604","0.88710909798877","0.882660346850369","0.870020638634946","0.858767284241855","0.861880065969524","0.879985604435216","0.792850809005093","0.767456838117902","0.772294851981829","0.896898287975486","0.777464678846702","0.775865884901637","0.887920265395946","0.894904915358845","0.891653926699464","0.849687898433935","0.886147061401938","0.850805872177822"
"s15_vc08","0.7475735664987","0.727849032379533","0.568847356060119","0.687150359323635","0.758642480136927","0.548943828971305","0.634755407621273","0","0.743622078196901","0.847054623503039","0.809323938449231","0.873021451775773","0.53334290704532","0.781578656769421","0.82634187799082","0.839648022708267","0.893253212676275","0.783903181005765","0.836152546964292","0.876212246914067","0.846919245507911","0.878574757370049","0.821582057309528","0.451833333871029","0.856965781189232","0.756639355299383","0.890246061921269","0.886120532206458","0.857893481302732","0.809807885604189","0.830629627735888","0.833874324249865","0.900316316157106","0.874944697932173","0.469427891429578","0.869313373069589","0.868290722557449","0.900316316157106","0.835508146041177","0.82609007909621","0.872345979679329","0.75231170311381","0.900316316157106","0.832496351365911","0.86905583376141","0.494417543194722","0.851157754712064","0.900316316157106","0.76277517465775","0.867697184369135","0.843553364037716","0.900316316157106","0.737386751704072","0.861177717893567","0.84612801616798","0.86305223163017","0.500407458885128","0.834931311354496","0.796981493934549","0.776038053166888","0.833519459902841","0.725565610390311","0.526624047429017","0.546931732183773","0.531016601280193","0.772408739720052","0.888843125229753","0.883705613087771","0.893647429164752","0.879671244217165","0.823323362507649","0.831862144981424","0.900316316157106","0.900316316157106","0.862158983614692","0.888143208413088","0.900316316157106","0.822248030455227","0.880370759431285","0.899602324692038","0.871354838159617","0.834387820019527","0.894708098146982","0.900316316157106","0.873027696784367","0.807219048303682","0.900316316157106","0.877557368091237","0.900316316157106","0.900316316157106","0.892744185731018","0.900316316157106","0.891716388528414","0.900316316157106","0.855397482644706","0.855484992741812","0.900316316157106","0.891463915732864","0.864140214979719","0.853043844018178","0.886963255782452","0.875232182676648","0.900316316157106","0.819660751831883","0.833068655544637","0.892538249203948","0.889450936513459","0.884395117066014","0.716066957714666","0.818479770960862","0.866806149812507","0.900316316157106","0.838775838315462","0.852385921196551","0.900316316157106","0.853160470488825","0.868205196761914","0.758420047677798","0.752441129194451","0.751067425682693","0.900316316157106","0.757193997019362","0.751164202718825","0.900316316157106","0.900316316157106","0.886717771212825","0.871523361948059","0.881273910281759","0.837394419045491"
"s16_vc08","0.239619199861666","0.34314611716038","0.797347478445833","0.780495937157782","0.803324078701737","0.747176550450183","0.776021203801159","0.743622078196901","0","0.651160460903203","0.675532060667759","0.750462013639807","0.758578069198067","0.503999094724429","0.659226231831563","0.543149963762792","0.807742255356496","0.622333316890575","0.672599943193469","0.699900401396835","0.692528881830479","0.703994535820284","0.616558382135321","0.729476201033485","0.677928447135002","0.350822159800969","0.831061840689636","0.817002645211828","0.732306575101169","0.748220807256527","0.732332419898439","0.7243623928342","0.851069995193572","0.784520077351638","0.73261020608334","0.779502075520149","0.819715710631277","0.88116441456391","0.831058492800143","0.804129489321908","0.787131268540479","0.332290808837033","0.84543847579377","0.719960138643214","0.750199043871515","0.663383675695264","0.68979246240559","0.853125149427871","0.761120033151911","0.781119621604943","0.734835898334591","0.850526838585408","0.451091141718284","0.748952557689489","0.728905145746393","0.756601760444525","0.696668959259942","0.665438692044612","0.575896169840358","0.601001151871873","0.608289874639344","0.343107228745604","0.62036431737825","0.818617906484088","0.764666514026668","0.795024030994269","0.784287381412113","0.839998992493661","0.829017571485767","0.857554249689184","0.827916830266541","0.781669376950198","0.873375986635738","0.84880753851602","0.814849381622028","0.710709324325294","0.817656725761192","0.708672579184617","0.849386548882034","0.820475924325861","0.686423709054386","0.711804460559329","0.809996039233803","0.845909604537854","0.809342544369828","0.722754418859885","0.857897157729484","0.763600292436665","0.81105022549501","0.852245764963553","0.800578145811878","0.865341594794968","0.847050448743014","0.85445394998562","0.745829921894265","0.863541767243793","0.883576570561922","0.788409049037273","0.797899644306781","0.766668637970347","0.820414306821084","0.81681866104196","0.855162186463001","0.76870115172651","0.86720897580706","0.855477746907758","0.851368423595931","0.826997812142093","0.846108668309469","0.8264665460185","0.728443759644761","0.836997537971951","0.735817152182796","0.868508645909972","0.82574430073738","0.762854938998361","0.774107581968607","0.329097149675829","0.340860527510622","0.322133506039538","0.83569490273059","0.320969261116971","0.248220858973448","0.84565634485748","0.853377097598056","0.832734516364596","0.779685674607396","0.806896692673121","0.835465063011904"
"s17_vc08","0.657444854734498","0.673637681051048","0.87596993083498","0.834608663565667","0.824205016030162","0.865005488511082","0.825896860908873","0.847054623503039","0.651160460903203","0","0.630676241446463","0.610211900476844","0.819099034369136","0.646205915504538","0.579694664222436","0.728391427351626","0.759129972615298","0.582375863493618","0.711953649328662","0.767405151475321","0.524341382165029","0.767951194836986","0.590986438369093","0.846918605014061","0.727999647167477","0.664470230396808","0.875205772044967","0.870041604443735","0.825209477112304","0.829598019735948","0.829614894843352","0.784240537978623","0.890163951528182","0.838117799912688","0.83283779089424","0.838658422876789","0.850145790258259","0.900316316157106","0.850448552477404","0.861396183633269","0.766689787733551","0.647106245947817","0.885546554218957","0.823573898230398","0.830445994143289","0.804407613301073","0.773276272918325","0.887274765151092","0.808220430752423","0.839239903419873","0.820589823085633","0.887160564910511","0.724407811337339","0.829956997686177","0.805300429574963","0.832117995948814","0.844526074450929","0.781271445883586","0.705699076993525","0.778543257596512","0.753282815349182","0.673621581843603","0.786838617024826","0.867352608633228","0.880401234969519","0.850973271539052","0.840946935141937","0.879372754900271","0.862201909385447","0.88960008180418","0.715844071125291","0.865922863081888","0.889575642556549","0.831698322536393","0.868434570095121","0.824577211388328","0.869423344929604","0.820587794787793","0.890570528277253","0.879610236273285","0.8384319509865","0.82034359989183","0.816378661467404","0.897393798908508","0.88556168896619","0.801092492138407","0.89061711128898","0.859365794416705","0.874082773571291","0.896168996748346","0.849436093234368","0.813520687652563","0.873448738625322","0.887472374687677","0.830766639397405","0.879915657261527","0.900316316157106","0.852724116681493","0.854902001589086","0.844522290298244","0.819799266832254","0.872600484149672","0.900316316157106","0.826714716690914","0.900316316157106","0.896017288407283","0.89411834486633","0.875239915099168","0.839892607780835","0.887648887362477","0.707077225977538","0.823886960687892","0.7714028122332","0.895612761813458","0.869675963339863","0.868001119592939","0.833394524216735","0.675365105059532","0.68885228683615","0.691314078069641","0.893804563345615","0.661557956045381","0.653165500312199","0.885610234002513","0.887336859589198","0.874827231195306","0.880214293444223","0.866358733916896","0.885910607308665"
